source_dataset,source_hearing_id,source_actor_index,source_opinion_index,actor_id,actor_name,actor_role,hearing_id,hearing_date,publication_date,date_basis,hearing_topic,speech_text,text_kind,evidence,evidence_status,target_proposition,stance_silver
PublicHearingBR_LDS.jsonl,1,0,0,michael shellenberger,Michael Shellenberger,Jornalista norte-americano,1,,2024-04-16,article_publication_only,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Acusou Alexandre de Moraes de censura ao solicitar o bloqueio de contas na rede social X.,LDS_opinion_summary_not_verbatim_speech,,not_verified_in_transcript,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
PublicHearingBR_LDS.jsonl,1,0,1,michael shellenberger,Michael Shellenberger,Jornalista norte-americano,1,,2024-04-16,article_publication_only,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,"Divulgou, no início do mês, um compilado de e-mails trocados por funcionários da plataforma X a respeito de decisões judiciais brasileiras que envolviam a rede social e investigações ao longo do período de 2020 a 2022. O caso ficou conhecido como Twitter Files Brasil",LDS_opinion_summary_not_verbatim_speech,,not_verified_in_transcript,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",NEUTRO | A FAVOR
PublicHearingBR_LDS.jsonl,1,0,2,michael shellenberger,Michael Shellenberger,Jornalista norte-americano,1,,2024-04-16,article_publication_only,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,"Defendeu a liberdade de expressão de forma ampla, incluindo o direito de nazistas e fascistas defenderem suas ideias: ""A gente quer debater e vencer as ideias ruins deles.""",LDS_opinion_summary_not_verbatim_speech,,not_verified_in_transcript,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
PublicHearingBR_LDS.jsonl,1,1,0,glenn greenwald,Glenn Greenwald,"Jornalista norte-americano, colunista do jornal Folha de S. Paulo e fundador do site The Intercept",1,,2024-04-16,article_publication_only,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,"Acredita que Alexandre de Moraes agiu sem base legal ao exigir a remoção de postagens e o banimento de contas, inclusive de parlamentares.",LDS_opinion_summary_not_verbatim_speech,,not_verified_in_transcript,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
PublicHearingBR_LDS.jsonl,1,1,1,glenn greenwald,Glenn Greenwald,"Jornalista norte-americano, colunista do jornal Folha de S. Paulo e fundador do site The Intercept",1,,2024-04-16,article_publication_only,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Afirmou que as pessoas não receberam aviso prévio do banimento nem explicações dos motivos.,LDS_opinion_summary_not_verbatim_speech,,not_verified_in_transcript,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
PublicHearingBR_LDS.jsonl,1,1,2,glenn greenwald,Glenn Greenwald,"Jornalista norte-americano, colunista do jornal Folha de S. Paulo e fundador do site The Intercept",1,,2024-04-16,article_publication_only,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Acrescentou que essas ordens de banimento foram sigilosas e sem o devido processo legal.,LDS_opinion_summary_not_verbatim_speech,,not_verified_in_transcript,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
PublicHearingBR_LDS.jsonl,1,2,0,marcel van hattem,Marcel van Hattem,Deputado (Novo-RS),1,,2024-04-16,article_publication_only,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Destacou que foi um dos parlamentares alvo de pedidos de remoção de conteúdo em processo sigiloso e que vai solicitar o fim do sigilo.,LDS_opinion_summary_not_verbatim_speech,,not_verified_in_transcript,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
PublicHearingBR_LDS.jsonl,1,2,1,marcel van hattem,Marcel van Hattem,Deputado (Novo-RS),1,,2024-04-16,article_publication_only,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,"Afirmou que está em curso ""um processo industrial de censura"" e de ""perseguição covarde contra desafetos"" do ministro Alexandre de Moraes.",LDS_opinion_summary_not_verbatim_speech,,not_verified_in_transcript,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
PublicHearingBR_LDS.jsonl,1,2,2,marcel van hattem,Marcel van Hattem,Deputado (Novo-RS),1,,2024-04-16,article_publication_only,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,"""A censura não pode prevalecer, e a liberdade de expressão tem que ser regra, porque sem liberdade de expressão não há democracia, sem devido processo legal não há democracia.""",LDS_opinion_summary_not_verbatim_speech,,not_verified_in_transcript,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR | CONTRA
PublicHearingBR_LDS.jsonl,1,2,3,marcel van hattem,Marcel van Hattem,Deputado (Novo-RS),1,,2024-04-16,article_publication_only,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,"Afirmou que uma convidada indicada por Chinaglia foi convidada, mas não compareceu, assim como o representante da plataforma X.",LDS_opinion_summary_not_verbatim_speech,,not_verified_in_transcript,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",NEUTRO
PublicHearingBR_LDS.jsonl,1,3,0,arlindo chinaglia,Arlindo Chinaglia,Deputado (PT-SP),1,,2024-04-16,article_publication_only,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,"Lamentou a ausência de contraditório na audiência, já que todos os convidados defenderam o mesmo ponto de vista.",LDS_opinion_summary_not_verbatim_speech,,not_verified_in_transcript,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR | NEUTRO
PublicHearingBR_LDS.jsonl,1,3,1,arlindo chinaglia,Arlindo Chinaglia,Deputado (PT-SP),1,,2024-04-16,article_publication_only,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,"Apontou que, de 2012 a 2021, na soma das solicitações de remoção por país recebidas pela plataforma X, o Brasil figura em antepenúltimo da lista: ""Portanto, tentar caracterizar que, no Brasil de hoje, e desde 2012, haja uma atitude de censura é um exagero retórico que se transforma em mentira.""",LDS_opinion_summary_not_verbatim_speech,,not_verified_in_transcript,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",CONTRA
