pair_id,side,source_record_id,actor_name,source_summary,speaker_marker,turn_start,turn_end,evidence_start,evidence_end,evidence_text,lexical_score,candidate_rank
263f772b51bf1354,a,149,Alexandre da Silva,"A grande diversidade social e do perfil da população entre as diferentes regiões brasileiras representa mais um desafio no planejamento das políticas públicas: ""O planejamento para o envelhecimento da região Sul, por exemplo, precisa ser diferente da região Norte. Temos que considerar as desigualdades, que vão se perpetuando, acumulando, se agravando e também chegando às idades mais avançadas, ao ponto de garantir ou não que grupo social vai ou não envelhecer e com qual condição de vida.""",O SR. ALEXANDRE DA SILVA,4197,21873,9061,9264,"As desigualdades vão se perpetuando, se acumulando, se agravando e também chegando às idades mais avançadas, a ponto de garantir ou não que grupo social vai ou não envelhecer e com qual condição de vida.",0.6452,1
263f772b51bf1354,a,149,Alexandre da Silva,"A grande diversidade social e do perfil da população entre as diferentes regiões brasileiras representa mais um desafio no planejamento das políticas públicas: ""O planejamento para o envelhecimento da região Sul, por exemplo, precisa ser diferente da região Norte. Temos que considerar as desigualdades, que vão se perpetuando, acumulando, se agravando e também chegando às idades mais avançadas, ao ponto de garantir ou não que grupo social vai ou não envelhecer e com qual condição de vida.""",O SR. ALEXANDRE DA SILVA,4197,21873,8634,8738,O planejamento que eu faço para o envelhecimento da Região Sul precisa ser diferente do da Região Norte.,0.28,2
263f772b51bf1354,a,149,Alexandre da Silva,"A grande diversidade social e do perfil da população entre as diferentes regiões brasileiras representa mais um desafio no planejamento das políticas públicas: ""O planejamento para o envelhecimento da região Sul, por exemplo, precisa ser diferente da região Norte. Temos que considerar as desigualdades, que vão se perpetuando, acumulando, se agravando e também chegando às idades mais avançadas, ao ponto de garantir ou não que grupo social vai ou não envelhecer e com qual condição de vida.""",O SR. ALEXANDRE DA SILVA,4197,21873,5601,5816,"Eu queria só fazer uma breve recordação aqui de dados que mostram qual é a expectativa de vida da pessoa a partir do momento que nasce, para nós sabermos como temos que pensar o planejamento da população brasileira.",0.1587,3
263f772b51bf1354,a,149,Alexandre da Silva,"A grande diversidade social e do perfil da população entre as diferentes regiões brasileiras representa mais um desafio no planejamento das políticas públicas: ""O planejamento para o envelhecimento da região Sul, por exemplo, precisa ser diferente da região Norte. Temos que considerar as desigualdades, que vão se perpetuando, acumulando, se agravando e também chegando às idades mais avançadas, ao ponto de garantir ou não que grupo social vai ou não envelhecer e com qual condição de vida.""",O SR. ALEXANDRE DA SILVA,4197,21873,7086,7351,"Então, o primeiro desafio que eu quero colocar aqui é por que nós, de certa forma, naturalizamos a feminização da velhice, ou seja, mais mulheres chegando às idades mais avançadas, e, infelizmente, naturalizamos a mortalidade precoce de pessoas do gênero masculino.",0.1538,4
263f772b51bf1354,a,149,Alexandre da Silva,"A grande diversidade social e do perfil da população entre as diferentes regiões brasileiras representa mais um desafio no planejamento das políticas públicas: ""O planejamento para o envelhecimento da região Sul, por exemplo, precisa ser diferente da região Norte. Temos que considerar as desigualdades, que vão se perpetuando, acumulando, se agravando e também chegando às idades mais avançadas, ao ponto de garantir ou não que grupo social vai ou não envelhecer e com qual condição de vida.""",O SR. ALEXANDRE DA SILVA,4197,21873,14831,15070,"Então, o letramento digital, a inclusão digital, a facilidade de acesso aos aplicativos e equipamentos que vão garantir o uso desses aplicativos têm que ser algo não só garantido, como também pensado exatamente para as pessoas mais velhas.",0.1538,5
263f772b51bf1354,b,110,Alexandre da Silva,"""A gente tem que cada vez mais aprimorar as nossas ações para que as pessoas idosas possam usufruir melhor das condições de vida. Construir também linhas de cuidado a partir das particularidades dos diversos grupos.""",O SR. ALEXANDRE DA SILVA,24268,37581,33066,33240,"Então, temos que, cada vez mais, aprimorar as nossas ações, para que as pessoas idosas possam usufruir tanto de uma melhor qualidade de vida como de outras condições de vida.",0.619,1
263f772b51bf1354,b,110,Alexandre da Silva,"""A gente tem que cada vez mais aprimorar as nossas ações para que as pessoas idosas possam usufruir melhor das condições de vida. Construir também linhas de cuidado a partir das particularidades dos diversos grupos.""",O SR. ALEXANDRE DA SILVA,24268,37581,33242,33337,Também temos que construir linhas de cuidado a partir das particularidades dos diversos grupos.,0.5,2
263f772b51bf1354,b,110,Alexandre da Silva,"""A gente tem que cada vez mais aprimorar as nossas ações para que as pessoas idosas possam usufruir melhor das condições de vida. Construir também linhas de cuidado a partir das particularidades dos diversos grupos.""",O SR. ALEXANDRE DA SILVA,24268,37581,37493,37559,Que possamos construir cada vez mais ações para as pessoas idosas!,0.4516,3
263f772b51bf1354,b,110,Alexandre da Silva,"""A gente tem que cada vez mais aprimorar as nossas ações para que as pessoas idosas possam usufruir melhor das condições de vida. Construir também linhas de cuidado a partir das particularidades dos diversos grupos.""",O SR. ALEXANDRE DA SILVA,24268,37581,24317,24420,Quero mais uma vez agradecer o convite e também agradecer a presença das pessoas idosas nestes espaços.,0.2941,4
263f772b51bf1354,b,110,Alexandre da Silva,"""A gente tem que cada vez mais aprimorar as nossas ações para que as pessoas idosas possam usufruir melhor das condições de vida. Construir também linhas de cuidado a partir das particularidades dos diversos grupos.""",O SR. ALEXANDRE DA SILVA,24268,37581,31148,31289,"São espaços onde há pessoas idosas, e nós gostaríamos que neles fosse discutida cada vez mais a pauta das pessoas idosas e do envelhecimento.",0.2703,5
d4e87de87b4f3431,a,199,Adriana Ventura,"Questionou a qualidade da insulina adquirida de uma empresa chinesa que não tem registro junto à Anvisa: ""Em que pese a escassez do produto, causou estranheza essa empresa ter um preço significativamente inferior ao de mercado.""",A SRA. ADRIANA VENTURA(NOVO - SP),45987,50118,47000,47199,"Em que pese a escassez do produto e a incapacidade de suprimento dessa demanda, causou estranheza o fato de a empresa Global X apresentar um preço significativamente inferior ao praticado no mercado.",0.5,1
d4e87de87b4f3431,a,199,Adriana Ventura,"Questionou a qualidade da insulina adquirida de uma empresa chinesa que não tem registro junto à Anvisa: ""Em que pese a escassez do produto, causou estranheza essa empresa ter um preço significativamente inferior ao de mercado.""",A SRA. ADRIANA VENTURA(NOVO - SP),45987,50118,48142,48258,"A empresa Gan & Lee, que é uma produtora de insulina, com que a Global X comercializa, também não tem representante.",0.2424,2
d4e87de87b4f3431,a,199,Adriana Ventura,"Questionou a qualidade da insulina adquirida de uma empresa chinesa que não tem registro junto à Anvisa: ""Em que pese a escassez do produto, causou estranheza essa empresa ter um preço significativamente inferior ao de mercado.""",A SRA. ADRIANA VENTURA(NOVO - SP),45987,50118,48048,48087,E essa empresa nunca produziu insulina.,0.2222,3
d4e87de87b4f3431,a,199,Adriana Ventura,"Questionou a qualidade da insulina adquirida de uma empresa chinesa que não tem registro junto à Anvisa: ""Em que pese a escassez do produto, causou estranheza essa empresa ter um preço significativamente inferior ao de mercado.""",A SRA. ADRIANA VENTURA(NOVO - SP),45987,50118,48456,48492,Também não tinha registro na ANVISA.,0.2222,4
d4e87de87b4f3431,a,199,Adriana Ventura,"Questionou a qualidade da insulina adquirida de uma empresa chinesa que não tem registro junto à Anvisa: ""Em que pese a escassez do produto, causou estranheza essa empresa ter um preço significativamente inferior ao de mercado.""",A SRA. ADRIANA VENTURA(NOVO - SP),45987,50118,47774,47827,E a empresa Global X não tem representante no Brasil.,0.2143,5
d4e87de87b4f3431,b,16,Adriana Ventura,"""Ela é esposa de líder do Comando Vermelho, condenada em segunda instância por organização criminosa, associação para o tráfico e lavagem de dinheiro. Nos causou muito desconforto, principalmente porque houve audiência com servidores e o ministério pagou diárias e viagens. Nós fizemos requerimento de informação, denúncia na Comissão de Ética Pública e projeto de lei para que a não publicização de agenda e compromisso seja configurada como improbidade administrativa.""",A SRA. ADRIANA VENTURA(NOVO - SP),20082,23811,20739,21088,"Luciane Barbosa Faria, sabendo-se que era esposa de líder do Comando Vermelho, condenada em segunda instância por organização criminosa, associação para o tráfico, lavagem de dinheiro, realmente nos causaram muito desconforto, especialmente a mim, principalmente porque foi feita audiência com servidores, tendo o Ministério pagado diárias, viagens.",0.557,1
