pair_id,event_type_a,event_type_b,provenance_status
263f772b51bf1354,PUBLIC_HEARING,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
d4e87de87b4f3431,MINISTER_APPEARANCE,MINISTER_APPEARANCE,AGREE_VALID_BOTH_SIDES
24c599750bdd544f,PUBLIC_HEARING,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
8f79764e69daadf2,PUBLIC_HEARING,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
af4d70f0c140e9c9,PUBLIC_HEARING,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
d4c07b40fb424a0c,PUBLIC_HEARING,MINISTER_APPEARANCE,AGREE_VALID_BOTH_SIDES
0138e27cd0f53d95,PUBLIC_HEARING,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
2e42e8583aea6939,PUBLIC_HEARING,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
3459768d16f576e5,MINISTER_APPEARANCE,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
2a22c99d1d3a678c,PUBLIC_HEARING,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
ebcdef50abd4418f,PUBLIC_HEARING,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
d3769de977ace19d,PUBLIC_HEARING,PUBLIC_HEARING_WITH_DELIBERATION,AGREE_VALID_BOTH_SIDES
36fb1e1240a12ac4,PUBLIC_HEARING,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
36e4b11ff6345a11,MINISTER_APPEARANCE,MINISTER_APPEARANCE,AGREE_VALID_BOTH_SIDES
de54c782d361768c,PUBLIC_HEARING,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
4cffd4e8a3906c01,SEMINAR,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
e001ebac1d8033f1,PUBLIC_HEARING_WITH_DELIBERATION,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
e6a308550846aa5f,PUBLIC_HEARING,PUBLIC_HEARING,AGREE_VALID_BOTH_SIDES
